COMPANY_CD,COUNTERPARTY_CD,SEQ_NO,SEC_REF_NO,SEC_CATEGORY,SEC_TYPE,DEAL_TYPE,GUARANTOR_CD,CURRENCY,VARIATION_VALUE,VALUE,VALUE_FLUC,ISS_BANK_CD,ISS_BANK_REF,ADV_BANK_CD,ADV_BANK_REF,CONFIRM_BANK_CD,CONFIRM_BANK_REF,RECEIPT_DT,ISSUE_DT,EXPIRE_DT,RENEW_DT,CANCEL_DT,TENOR,REVIEW_DT,STATUS,REMARKS,FLAG,INORDER_HIST,ENT_BY,ENT_DT,MODIFY_DT,MODIFY_BY,APRV_DT,APRV_BY,SEQ_REV_NO,GX,SAP_APPROVAL,SAP_APPROVED_BY,SAP_APPROVED_DT,SAP_REVERSAL,SAP_REVERSAL_BY,SAP_REVERSAL_DT,PG_REF,CR_DR,TDS_AMT,TDS_STRUCT_CD,LOG_SEQ_NO,LOG_ENT_DT
VEDALTD:0:NA=PUR,VEDALTD,8,VEDALTD-S-8,I,BG,Gas,null,1,Fixed,30000000,0,The Hongkong & Shanghai Banking Corporation Ltd,TEBBOM272721,null,null,null,null,20/02/2024 00:00:00,20/02/2024 00:00:00,30/04/2024 00:00:00,null,null,71,28/03/2024 00:00:00,O,SEIPL - Bid Bond for CB Block Tender (RFP/CB/OS-2/2024/1). Claim Expiry Date: 31 May 2024. ,Y,Y,125,21/02/2024 00:00:00,21/02/2024 00:00:00,125,21/02/2024 00:00:00,125,0,K,null,null,null,null,null,null,null,null,null,null,2,21/02/2024 00:00:00
VEDALTD:0:NA=PUR,VEDALTD,1,VEDALTD-S-1,I,BG,Gas,null,1,Fixed,100000000,0,The Hongkong & Shanghai Banking Corporation Ltd,TEBBOM256324,null,null,null,null,16/05/2023 00:00:00,11/05/2023 00:00:00,30/06/2023 00:00:00,null,null,51,null,A,SEIPL - Bid Bond for RJ Gas Tender. Expiry 30 June 2023  claim expiry 31 July 2023. SFMS Confirmation provided to ICIC Bank.,null,null,125,17/05/2023 00:00:00,28/06/2023 00:00:00,125,null,null,0,K,null,null,null,null,null,null,null,null,null,null,2,28/06/2023 00:00:00
VEDALTD:0:NA=PUR,VEDALTD,3,VEDALTD-S-3,I,BG,Gas,null,1,Fixed,9825683,0,The Hongkong & Shanghai Banking Corporation Ltd,PEBBOM256984,null,null,null,null,29/05/2023 00:00:00,29/05/2023 00:00:00,31/10/2023 00:00:00,null,null,156,01/09/2023 00:00:00,A,SEIPL - RJ GAS TENDER - BG expiry 31Oct2023  Claim expiry 31Oct2024,null,null,125,30/05/2023 00:00:00,28/06/2023 00:00:00,125,null,null,0,K,null,null,null,null,null,null,null,null,null,null,2,28/06/2023 00:00:00
VEDALTD:0:NA=PUR,VEDALTD,4,VEDALTD-S-4,I,BG,Gas,null,1,Fixed,60000000,0,The Hongkong & Shanghai Banking Corporation Ltd,TEBBOM262001,null,null,null,null,01/09/2023 00:00:00,01/09/2023 00:00:00,31/10/2023 00:00:00,null,null,61,29/09/2023 00:00:00,E,SEIPL - BID BOND FOR RJ GAS TENDER (RFP/RJ-ON-90/1/2023/5),N,Y,125,04/09/2023 00:00:00,01/11/2023 00:00:00,125,04/09/2023 00:00:00,125,0,K,null,null,null,null,null,null,null,null,null,null,3,01/11/2023 00:00:00
VEDALTD:0:NA=PUR,VEDALTD,6,VEDALTD-S-6,I,BG,Gas,null,1,Fixed,30000000,0,The Hongkong & Shanghai Banking Corporation Ltd,TEBBOM271170,null,null,null,null,20/01/2024 00:00:00,20/01/2024 00:00:00,29/02/2024 00:00:00,null,null,41,12/02/2024 00:00:00,A,SEIPL - Bid Bond for Jaya Field Tender (RFP/Jaya/2024/1),null,null,125,22/01/2024 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,22/01/2024 00:00:00
VEDALTD:0:NA=PUR,VEDALTD,6,VEDALTD-S-6,I,BG,Gas,null,1,Fixed,30000000,0,The Hongkong & Shanghai Banking Corporation Ltd,TEBBOM271170,null,null,null,null,20/01/2024 00:00:00,20/01/2024 00:00:00,29/02/2024 00:00:00,null,null,41,12/02/2024 00:00:00,O,SEIPL - Bid Bond for Jaya Field Tender (RFP/Jaya/2024/1),Y,Y,125,22/01/2024 00:00:00,22/01/2024 00:00:00,125,22/01/2024 00:00:00,125,0,K,null,null,null,null,null,null,null,null,null,null,2,22/01/2024 00:00:00
VEDALTD:0:NA=PUR,VEDALTD,7,VEDALTD-S-7,I,BG,Gas,null,1,Fixed,50000000,0,The Hongkong & Shanghai Banking Corporation Ltd,TEBBOM272393,null,null,null,null,16/02/2024 00:00:00,14/02/2024 00:00:00,30/04/2024 00:00:00,null,18/03/2024 00:00:00,77,28/03/2024 00:00:00,C,SEIPL - BID BOND FOR RJ GAS TENDER (RFP/RJ-ON-90/1/2024/1),X,Y,125,16/02/2024 00:00:00,18/03/2024 00:00:00,125,16/02/2024 00:00:00,125,0,K,null,null,null,null,null,null,null,null,null,null,3,18/03/2024 00:00:00
VEDALTD:0:NA=PUR,VEDALTD,8,VEDALTD-S-8,I,BG,Gas,null,1,Fixed,30000000,0,The Hongkong & Shanghai Banking Corporation Ltd,TEBBOM272721,null,null,null,null,20/02/2024 00:00:00,20/02/2024 00:00:00,30/04/2024 00:00:00,null,18/03/2024 00:00:00,71,28/03/2024 00:00:00,C,SEIPL - Bid Bond for CB Block Tender (RFP/CB/OS-2/2024/1). Claim Expiry Date: 31 May 2024. ,X,Y,125,21/02/2024 00:00:00,18/03/2024 00:00:00,125,21/02/2024 00:00:00,125,0,K,null,null,null,null,null,null,null,null,null,null,3,18/03/2024 00:00:00
VEDALTD:0:NA=PUR,VEDALTD,1,VEDALTD-S-1,I,BG,Gas,null,1,Fixed,100000000,0,The Hongkong & Shanghai Banking Corporation Ltd,TEBBOM256324,null,null,null,null,16/05/2023 00:00:00,11/05/2023 00:00:00,30/06/2023 00:00:00,null,18/03/2024 00:00:00,51,null,C,SEIPL - Bid Bond for RJ Gas Tender. Expiry 30 June 2023  claim expiry 31 July 2023. SFMS Confirmation provided to ICIC Bank.,X,null,125,17/05/2023 00:00:00,18/03/2024 00:00:00,125,null,null,0,K,null,null,null,null,null,null,null,null,null,null,3,18/03/2024 00:00:00
VEDALTD:0:NA=PUR,VEDALTD,9,VEDALTD-S-9,I,BG,Gas,null,1,Fixed,25000000,0,The Hongkong & Shanghai Banking Corporation Ltd,TEBBOM279338,null,null,null,null,08/07/2024 00:00:00,08/07/2024 00:00:00,31/08/2024 00:00:00,null,null,55,29/07/2024 00:00:00,A,SEIPL - Bid Bond to Vedanta Limited for Jaya Field Tender (RFP/Jaya/2024/2),null,null,125,09/07/2024 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,09/07/2024 00:00:00
VEDALTD:0:NA=PUR,VEDALTD,9,VEDALTD-S-9,I,BG,Gas,null,1,Fixed,25000000,0,The Hongkong & Shanghai Banking Corporation Ltd,TEBBOM279338,null,null,null,null,08/07/2024 00:00:00,08/07/2024 00:00:00,31/08/2024 00:00:00,null,null,55,29/07/2024 00:00:00,O,SEIPL - Bid Bond to Vedanta Limited for Jaya Field Tender (RFP/Jaya/2024/2),Y,Y,125,09/07/2024 00:00:00,09/07/2024 00:00:00,125,09/07/2024 00:00:00,125,0,K,null,null,null,null,null,null,null,null,null,null,2,09/07/2024 00:00:00
VEDALTD:0:NA=PUR,VEDALTD,9,VEDALTD-S-9,I,BG,Gas,null,1,Fixed,25000000,0,The Hongkong & Shanghai Banking Corporation Ltd,TEBBOM279338,null,null,null,null,08/07/2024 00:00:00,08/07/2024 00:00:00,31/08/2024 00:00:00,null,07/08/2024 00:00:00,55,29/07/2024 00:00:00,C,SEIPL - Bid Bond to Vedanta Limited for Jaya Field Tender (RFP/Jaya/2024/2),X,Y,125,09/07/2024 00:00:00,07/08/2024 00:00:00,125,09/07/2024 00:00:00,125,0,K,null,null,null,null,null,null,null,null,null,null,3,07/08/2024 00:00:00
VEDALTD:0:NA=PUR,VEDALTD,3,VEDALTD-S-3,I,BG,Gas,null,1,Fixed,9825683,0,The Hongkong & Shanghai Banking Corporation Ltd,PEBBOM256984,null,null,null,null,29/05/2023 00:00:00,29/05/2023 00:00:00,31/10/2023 00:00:00,null,null,156,01/09/2023 00:00:00,E,SEIPL - RJ GAS TENDER - BG expiry 31Oct2023  Claim expiry 31Oct2024. EXPIRED. ,N,Y,125,30/05/2023 00:00:00,19/03/2024 00:00:00,125,18/03/2024 00:00:00,125,0,K,null,null,null,null,null,null,null,null,null,null,4,19/03/2024 00:00:00
VEDALTD:0:NA=PUR,VEDALTD,10,VEDALTD-S-10,I,BG,Gas,null,1,Fixed,50000000,0,The Hongkong & Shanghai Banking Corporation Ltd,TEBBOM286488,null,null,null,null,28/11/2024 00:00:00,28/11/2024 00:00:00,31/01/2025 00:00:00,null,null,65,03/01/2025 00:00:00,A,Bid Bond - JAYA FIELD RFP# RFP/JAYA/2025/1,null,null,125,20/12/2024 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,20/12/2024 00:00:00
VEDALTD:0:NA=PUR,VEDALTD,10,VEDALTD-S-10,I,BG,Gas,null,1,Fixed,50000000,0,The Hongkong & Shanghai Banking Corporation Ltd,TEBBOM286488,null,null,null,null,28/11/2024 00:00:00,28/11/2024 00:00:00,31/01/2025 00:00:00,null,null,65,03/01/2025 00:00:00,O,Bid Bond - JAYA FIELD RFP# RFP/JAYA/2025/1,Y,Y,125,20/12/2024 00:00:00,20/12/2024 00:00:00,125,20/12/2024 00:00:00,125,0,K,null,null,null,null,null,null,null,null,null,null,2,20/12/2024 00:00:00
VEDALTD:0:NA=PUR,VEDALTD,3,VEDALTD-S-3,I,BG,Gas,null,1,Fixed,9825683,0,The Hongkong & Shanghai Banking Corporation Ltd,PEBBOM256984,null,null,null,null,29/05/2023 00:00:00,29/05/2023 00:00:00,31/10/2023 00:00:00,null,null,156,01/09/2023 00:00:00,O,SEIPL - RJ GAS TENDER - BG expiry 31Oct2023  Claim expiry 31Oct2024. EXPIRED. ,Y,Y,125,30/05/2023 00:00:00,18/03/2024 00:00:00,125,18/03/2024 00:00:00,125,0,K,null,null,null,null,null,null,null,null,null,null,3,18/03/2024 00:00:00
TASTELI:0:NA=PUR,TASTELI,4,TASTELI-S-4,I,LC,Gas,null,1,Fixed,138750000,0,HDFC Bank Ltd,469SBLD231720001,Standard Chartered Bank ,171111069202-G,null,null,28/06/2023 00:00:00,27/06/2023 00:00:00,26/06/2024 00:00:00,null,null,366,27/05/2024 00:00:00,O,GSA 30 MAY 2023,Y,Y,104,30/06/2023 00:00:00,30/06/2023 00:00:00,104,30/06/2023 00:00:00,104,0,K,null,null,null,null,null,null,null,null,null,null,2,30/06/2023 00:00:00
TASTELI:0:NA=PUR,TASTELI,4,TASTELI-S-4,I,LC,Gas,null,1,Fixed,138750000,0,HDFC Bank Ltd,469SBLD231720001,Standard Chartered Bank ,171111069202-G,null,null,28/06/2023 00:00:00,27/06/2023 00:00:00,26/06/2024 00:00:00,null,null,366,27/05/2024 00:00:00,A,GSA 30 MAY 2023,null,null,104,30/06/2023 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,30/06/2023 00:00:00
TASTELI:0:NA=PUR,TASTELI,4,TASTELI-S-4,I,LC,Gas,null,1,Fixed,138750000,0,HDFC Bank Ltd,469SBLD231720001,Standard Chartered Bank ,171111069202-G,null,null,28/06/2023 00:00:00,27/06/2023 00:00:00,26/06/2024 00:00:00,null,null,366,27/05/2024 00:00:00,E,GSA 30 MAY 2023,N,Y,104,30/06/2023 00:00:00,27/06/2024 00:00:00,104,30/06/2023 00:00:00,104,0,K,null,null,null,null,null,null,null,null,null,null,3,27/06/2024 00:00:00
SITMEFZ-1-24004-N-24006-1=PUR,SITMEFZ,13,SITMEFZ-S-13,I,OA,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,45,01/04/2024 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,01/04/2024 00:00:00
SITMEFZ-1-24008-N-24010-1=PUR,SITMEFZ,14,SITMEFZ-S-14,I,OA,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,45,07/06/2024 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,07/06/2024 00:00:00
SITMEFZ-1-24008-N-24010-1=PUR,SITMEFZ,15,SITMEFZ-S-15,I,OA,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,45,07/06/2024 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,07/06/2024 00:00:00
SITMEFZ-1-24009-N-24011-1=PUR,SITMEFZ,16,SITMEFZ-S-16,I,OA,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,45,01/08/2024 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,01/08/2024 00:00:00
SITMEFZ-1-24013-N-24015-1=PUR,SITMEFZ,17,SITMEFZ-S-17,I,OA,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,45,10/12/2024 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,10/12/2024 00:00:00
SITMEFZ-1-25003-N-25003-1=PUR,SITMEFZ,19,SITMEFZ-S-19,I,OA,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,45,13/01/2025 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,13/01/2025 00:00:00
SITMEFZ-1-25001-N-25001-1=PUR,SITMEFZ,18,SITMEFZ-S-18,I,OA,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,45,07/01/2025 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,07/01/2025 00:00:00
SITMEFZ-1-23011-N-23011-1=PUR,SITMEFZ,3,SITMEFZ-S-3,I,OA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,110,05/04/2023 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,05/04/2023 00:00:00
SITMEFZ-1-23014-N-23015-1=PUR,SITMEFZ,4,SITMEFZ-S-4,I,OA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,110,02/05/2023 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,02/05/2023 00:00:00
SITMEFZ-1-23014-N-23015-1=PUR,SITMEFZ,4,SITMEFZ-S-4,I,OA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,110,02/05/2023 00:00:00,02/05/2023 00:00:00,110,null,null,0,K,null,null,null,null,null,null,null,null,null,null,2,02/05/2023 00:00:00
SITMEFZ-1-23007-N-23007-1=PUR,SITMEFZ,1,SITMEFZ-S-1,I,OA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,110,09/03/2023 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,09/03/2023 00:00:00
SITMEFZ-1-23010-N-23010-1=PUR,SITMEFZ,2,SITMEFZ-S-2,I,OA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,154,27/03/2023 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,27/03/2023 00:00:00
SITMEFZ-1-23023-N-23025-1=PUR,SITMEFZ,6,SITMEFZ-S-6,I,OA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,37,31/08/2023 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,31/08/2023 00:00:00
SITMEFZ-1-23026-N-23028-1=PUR,SITMEFZ,7,SITMEFZ-S-7,I,OA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,37,15/09/2023 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,15/09/2023 00:00:00
SITMEFZ-1-23022-N-23024-1=PUR,SITMEFZ,5,SITMEFZ-S-5,I,OA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,37,03/08/2023 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,03/08/2023 00:00:00
SITMEFZ-1-24002-N-24002-1=PUR,SITMEFZ,10,SITMEFZ-S-10,I,OA,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,45,22/01/2024 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,22/01/2024 00:00:00
SITMEFZ-1-24002-N-24003-1=PUR,SITMEFZ,11,SITMEFZ-S-11,I,OA,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,45,22/01/2024 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,22/01/2024 00:00:00
SITMEFZ-1-24002-N-24004-1=PUR,SITMEFZ,12,SITMEFZ-S-12,I,OA,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,45,22/01/2024 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,22/01/2024 00:00:00
SITMEFZ-1-23037-N-23040-1=PUR,SITMEFZ,9,SITMEFZ-S-9,I,OA,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,45,29/12/2023 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,29/12/2023 00:00:00
SITMEFZ-1-23032-N-23034-1=PUR,SITMEFZ,8,SITMEFZ-S-8,I,OA,null,null,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,45,16/11/2023 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,16/11/2023 00:00:00
SITME-1-21010-N-21050-1=PUR,SITME,1,SITME-S-1,I,OA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,P,null,null,null,110,30/06/2021 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,30/06/2021 00:00:00
SISECAM:0:NA=PUR,SISECAM,10,SISECAM-S-1-V3,I,BG,Gas,null,1,Fixed,83399000,0,State Bank of India,0194621BG0000201,null,null,null,null,05/01/2022 00:00:00,01/07/2022 00:00:00,30/04/2023 00:00:00,01/07/2022 00:00:00,30/12/2022 00:00:00,304,null,R,SN01.03-04 FGSA 09 JUNE 2021 AMD02 - BG ISSUANCE CONFIRMED,X,Y,104,01/07/2022 00:00:00,01/07/2022 00:00:00,104,01/07/2022 00:00:00,104,0,K,null,null,null,null,null,null,null,null,null,null,4,30/12/2022 00:00:00
SISECAM:0:NA=PUR,SISECAM,13,SISECAM-S-1-V4,I,BG,Gas,null,1,Fixed,83399000,0,State Bank of India,0194621BG0000201,null,null,null,null,05/01/2022 00:00:00,30/12/2022 00:00:00,30/04/2023 00:00:00,30/12/2022 00:00:00,null,304,null,A,SN01.03-04 FGSA 09 JUNE 2021 AMD02 - BG ISSUANCE CONFIRMED,null,Y,104,30/12/2022 00:00:00,null,null,null,null,0,K,null,null,null,null,null,null,null,null,null,null,1,30/12/2022 00:00:00
SISECAM:0:NA=PUR,SISECAM,16,SISECAM-S-16,I,LC,Gas,null,1,Fixed,117919000,0,Citibank N.A. ? India Branches,5800690025,null,null,null,null,26/12/2023 00:00:00,07/11/2023 00:00:00,31/01/2024 00:00:00,null,24/12/2024 00:00:00,86,null,C,SN06 FGSA 04 JUNE 2021 - NOT IN ORDER,X,null,37,25/10/2023 00:00:00,24/12/2024 00:00:00,104,null,null,0,K,null,null,null,null,null,null,null,null,null,null,3,24/12/2024 00:00:00
