
<<START>>,<<FMS_SUPPLY_CONT_MST(DLNG)>>,, 	(05-JUN-2025 12:29:18)
VIGASLD,1,0,1,0,F, 	(05-JUN-2025 12:29:20)
VIGASLD,1,0,1,2,F, 	(05-JUN-2025 12:29:20)
VIGASLD,1,0,2,1,F, 	(05-JUN-2025 12:29:20)
VIGASLD,1,0,4,1,F, 	(05-JUN-2025 12:29:20)
VIGASLD,1,0,3,0,F, 	(05-JUN-2025 12:29:20)
VIGASLD,1,0,6,0,F, 	(05-JUN-2025 12:29:20)
VIGASLD,1,0,2,0,F, 	(05-JUN-2025 12:29:20)
VIGASLD,1,0,1,1,F, 	(05-JUN-2025 12:29:20)
VIGASLD,1,0,4,0,F, 	(05-JUN-2025 12:29:20)
VIGASLD,1,0,7,0,F, 	(05-JUN-2025 12:29:20)
VIGASLD,1,0,5,1,F, 	(05-JUN-2025 12:29:20)
VIGASLD,1,0,7,1,F, 	(05-JUN-2025 12:29:20)
VIGASLD,1,0,5,0,F, 	(05-JUN-2025 12:29:20)
VIGASLD,1,0,3,1,F, 	(05-JUN-2025 12:29:20)
VIGASLD,1,0,6,1,F, 	(05-JUN-2025 12:29:20)
GOLDPFG,1,0,1,0,F, 	(05-JUN-2025 12:29:20)
GOLDPFG,1,0,1,1,F, 	(05-JUN-2025 12:29:20)
KUTCHCL,1,0,1,1,F, 	(05-JUN-2025 12:29:21)
KUTCHCL,1,0,2,0,F, 	(05-JUN-2025 12:29:21)
KUTCHCL,1,0,1,0,F, 	(05-JUN-2025 12:29:21)

TOTAL DATA EXTRACTED :,423,,  	(05-JUN-2025 12:29:21)
 
<<END>>,<<FMS_SUPPLY_CONT_MST(DLNG)>>,, 	(05-JUN-2025 12:29:21)
 
