
<<START>>,<<FMS_OTH_ENTITY_MST>>, 	(15-DEC-2025 14:30:42)
89,V,01/06/2018, 	(15-DEC-2025 14:30:44)
90,V,01/06/2018, 	(15-DEC-2025 14:30:44)
91,V,01/07/2018, 	(15-DEC-2025 14:30:44)
92,V,01/08/2018, 	(15-DEC-2025 14:30:44)
93,V,01/08/2018, 	(15-DEC-2025 14:30:44)
94,V,01/08/2018, 	(15-DEC-2025 14:30:44)
95,V,14/09/2018, 	(15-DEC-2025 14:30:44)
96,V,01/10/2018, 	(15-DEC-2025 14:30:44)
97,V,01/10/2018, 	(15-DEC-2025 14:30:44)
98,V,01/10/2018, 	(15-DEC-2025 14:30:44)
99,V,01/11/2018, 	(15-DEC-2025 14:30:44)
100,V,01/12/2018, 	(15-DEC-2025 14:30:44)
101,V,30/11/2018, 	(15-DEC-2025 14:30:44)
102,V,30/11/2018, 	(15-DEC-2025 14:30:44)
103,V,30/11/2018, 	(15-DEC-2025 14:30:44)
104,V,30/11/2018, 	(15-DEC-2025 14:30:44)
105,V,30/11/2018, 	(15-DEC-2025 14:30:44)
106,V,30/11/2018, 	(15-DEC-2025 14:30:44)
107,V,30/11/2018, 	(15-DEC-2025 14:30:44)
108,V,01/12/2018, 	(15-DEC-2025 14:30:44)
109,V,30/11/2018, 	(15-DEC-2025 14:30:44)
110,V,01/01/2019, 	(15-DEC-2025 14:30:44)
111,V,01/01/2019, 	(15-DEC-2025 14:30:44)
112,V,01/01/2019, 	(15-DEC-2025 14:30:44)
113,V,01/11/2018, 	(15-DEC-2025 14:30:44)
114,V,01/11/2018, 	(15-DEC-2025 14:30:44)
115,V,01/02/2019, 	(15-DEC-2025 14:30:44)
116,V,01/02/2019, 	(15-DEC-2025 14:30:44)
117,V,01/02/2019, 	(15-DEC-2025 14:30:44)
118,V,01/02/2019, 	(15-DEC-2025 14:30:44)
119,V,01/02/2019, 	(15-DEC-2025 14:30:44)
120,V,01/01/2019, 	(15-DEC-2025 14:30:44)
121,V,01/01/2019, 	(15-DEC-2025 14:30:44)
122,V,01/03/2019, 	(15-DEC-2025 14:30:44)
123,V,01/03/2019, 	(15-DEC-2025 14:30:44)
124,V,01/04/2019, 	(15-DEC-2025 14:30:44)
125,V,01/04/2019, 	(15-DEC-2025 14:30:44)
126,V,01/04/2019, 	(15-DEC-2025 14:30:44)
127,V,01/04/2019, 	(15-DEC-2025 14:30:44)
128,V,01/04/2019, 	(15-DEC-2025 14:30:44)
129,V,01/04/2019, 	(15-DEC-2025 14:30:44)
130,V,01/04/2019, 	(15-DEC-2025 14:30:44)
131,V,01/04/2019, 	(15-DEC-2025 14:30:44)
132,V,01/04/2019, 	(15-DEC-2025 14:30:44)
133,V,01/04/2019, 	(15-DEC-2025 14:30:44)
134,V,01/04/2019, 	(15-DEC-2025 14:30:44)
135,V,01/04/2019, 	(15-DEC-2025 14:30:44)
136,V,01/04/2019, 	(15-DEC-2025 14:30:44)
137,V,01/04/2019, 	(15-DEC-2025 14:30:44)
138,V,01/04/2019, 	(15-DEC-2025 14:30:44)
139,V,01/04/2019, 	(15-DEC-2025 14:30:44)
140,V,01/04/2019, 	(15-DEC-2025 14:30:44)
141,V,01/04/2019, 	(15-DEC-2025 14:30:44)
142,V,01/04/2019, 	(15-DEC-2025 14:30:44)
143,V,01/04/2019, 	(15-DEC-2025 14:30:44)
144,V,01/04/2019, 	(15-DEC-2025 14:30:44)
145,V,01/04/2019, 	(15-DEC-2025 14:30:44)
146,V,01/04/2019, 	(15-DEC-2025 14:30:44)
147,V,01/04/2019, 	(15-DEC-2025 14:30:44)
148,V,01/04/2019, 	(15-DEC-2025 14:30:44)
149,V,01/04/2019, 	(15-DEC-2025 14:30:44)
150,V,01/04/2019, 	(15-DEC-2025 14:30:44)
151,V,01/10/2024, 	(15-DEC-2025 14:30:44)
152,V,01/04/2019, 	(15-DEC-2025 14:30:44)
153,V,01/04/2019, 	(15-DEC-2025 14:30:44)
154,V,01/04/2019, 	(15-DEC-2025 14:30:44)
155,V,01/04/2019, 	(15-DEC-2025 14:30:44)
156,V,01/04/2019, 	(15-DEC-2025 14:30:44)
157,V,01/04/2019, 	(15-DEC-2025 14:30:44)
158,V,01/04/2019, 	(15-DEC-2025 14:30:44)
159,V,01/04/2019, 	(15-DEC-2025 14:30:44)
160,V,01/04/2019, 	(15-DEC-2025 14:30:44)
161,V,01/04/2019, 	(15-DEC-2025 14:30:44)
162,V,01/04/2019, 	(15-DEC-2025 14:30:44)
163,V,01/04/2019, 	(15-DEC-2025 14:30:44)
164,V,01/04/2019, 	(15-DEC-2025 14:30:44)
165,V,01/04/2019, 	(15-DEC-2025 14:30:44)
166,V,01/04/2019, 	(15-DEC-2025 14:30:44)
167,V,01/04/2019, 	(15-DEC-2025 14:30:44)
168,V,01/04/2019, 	(15-DEC-2025 14:30:44)
169,V,01/04/2019, 	(15-DEC-2025 14:30:44)
170,V,01/02/2019, 	(15-DEC-2025 14:30:44)
171,V,01/05/2019, 	(15-DEC-2025 14:30:44)
172,V,01/05/2019, 	(15-DEC-2025 14:30:44)
173,V,01/05/2019, 	(15-DEC-2025 14:30:44)
174,V,01/06/2019, 	(15-DEC-2025 14:30:44)
175,V,01/06/2019, 	(15-DEC-2025 14:30:44)
176,V,01/08/2019, 	(15-DEC-2025 14:30:44)
177,V,01/07/2019, 	(15-DEC-2025 14:30:44)
178,V,01/07/2019, 	(15-DEC-2025 14:30:44)
179,V,01/07/2019, 	(15-DEC-2025 14:30:44)
180,V,01/09/2019, 	(15-DEC-2025 14:30:44)
181,V,01/09/2019, 	(15-DEC-2025 14:30:44)
182,V,01/09/2019, 	(15-DEC-2025 14:30:44)
183,V,01/09/2019, 	(15-DEC-2025 14:30:44)
184,V,01/09/2019, 	(15-DEC-2025 14:30:44)
185,V,01/07/2019, 	(15-DEC-2025 14:30:44)
186,V,01/10/2019, 	(15-DEC-2025 14:30:44)
187,V,01/09/2019, 	(15-DEC-2025 14:30:44)
188,V,01/09/2019, 	(15-DEC-2025 14:30:44)
189,V,01/10/2019, 	(15-DEC-2025 14:30:44)
190,V,01/09/2019, 	(15-DEC-2025 14:30:44)
191,V,01/11/2019, 	(15-DEC-2025 14:30:44)
192,V,01/11/2019, 	(15-DEC-2025 14:30:44)
193,V,01/11/2019, 	(15-DEC-2025 14:30:44)
194,V,01/12/2019, 	(15-DEC-2025 14:30:44)
195,V,01/12/2019, 	(15-DEC-2025 14:30:44)
196,V,01/12/2019, 	(15-DEC-2025 14:30:44)
197,V,01/12/2019, 	(15-DEC-2025 14:30:44)
198,V,01/12/2019, 	(15-DEC-2025 14:30:44)
199,V,01/12/2019, 	(15-DEC-2025 14:30:44)
200,V,01/12/2019, 	(15-DEC-2025 14:30:44)
201,V,01/12/2019, 	(15-DEC-2025 14:30:44)
202,V,01/12/2019, 	(15-DEC-2025 14:30:44)
203,V,01/12/2019, 	(15-DEC-2025 14:30:44)
204,V,01/12/2019, 	(15-DEC-2025 14:30:44)
205,V,01/12/2019, 	(15-DEC-2025 14:30:44)
206,V,01/12/2019, 	(15-DEC-2025 14:30:44)
207,V,01/12/2019, 	(15-DEC-2025 14:30:44)
208,V,01/12/2019, 	(15-DEC-2025 14:30:44)
209,V,01/12/2019, 	(15-DEC-2025 14:30:44)
210,V,01/12/2019, 	(15-DEC-2025 14:30:44)
211,V,01/12/2019, 	(15-DEC-2025 14:30:44)
212,V,01/01/2020, 	(15-DEC-2025 14:30:44)
213,V,01/11/2019, 	(15-DEC-2025 14:30:44)
214,V,01/01/2020, 	(15-DEC-2025 14:30:44)
215,V,01/01/2020, 	(15-DEC-2025 14:30:44)
216,V,01/03/2020, 	(15-DEC-2025 14:30:44)
217,V,01/03/2020, 	(15-DEC-2025 14:30:44)
218,V,01/03/2020, 	(15-DEC-2025 14:30:44)
219,V,01/03/2020, 	(15-DEC-2025 14:30:44)
220,V,01/03/2020, 	(15-DEC-2025 14:30:44)
221,V,01/03/2020, 	(15-DEC-2025 14:30:44)
222,V,01/03/2020, 	(15-DEC-2025 14:30:44)
223,V,01/05/2020, 	(15-DEC-2025 14:30:44)
224,V,01/05/2020, 	(15-DEC-2025 14:30:44)
225,V,01/05/2020, 	(15-DEC-2025 14:30:44)
226,V,01/06/2020, 	(15-DEC-2025 14:30:44)
227,V,01/06/2020, 	(15-DEC-2025 14:30:44)
228,V,01/07/2020, 	(15-DEC-2025 14:30:44)
229,V,01/07/2020, 	(15-DEC-2025 14:30:44)
230,V,01/07/2020, 	(15-DEC-2025 14:30:44)
231,V,01/03/2020, 	(15-DEC-2025 14:30:44)
232,V,01/09/2020, 	(15-DEC-2025 14:30:44)
233,V,01/09/2020, 	(15-DEC-2025 14:30:44)
234,V,01/10/2020, 	(15-DEC-2025 14:30:44)
235,V,01/10/2020, 	(15-DEC-2025 14:30:44)
236,V,01/11/2020, 	(15-DEC-2025 14:30:44)
237,V,01/12/2020, 	(15-DEC-2025 14:30:44)
238,V,01/12/2020, 	(15-DEC-2025 14:30:44)
239,V,01/01/2021, 	(15-DEC-2025 14:30:44)
240,V,01/01/2021, 	(15-DEC-2025 14:30:44)
241,V,01/01/2021, 	(15-DEC-2025 14:30:44)
242,V,01/02/2021, 	(15-DEC-2025 14:30:44)
243,V,01/04/2021, 	(15-DEC-2025 14:30:44)
244,V,01/04/2021, 	(15-DEC-2025 14:30:44)
245,V,01/03/2021, 	(15-DEC-2025 14:30:44)
246,V,01/06/2021, 	(15-DEC-2025 14:30:44)
247,V,01/06/2021, 	(15-DEC-2025 14:30:44)
248,V,01/06/2021, 	(15-DEC-2025 14:30:44)
249,V,01/06/2021, 	(15-DEC-2025 14:30:44)
250,V,01/07/2021, 	(15-DEC-2025 14:30:44)
251,V,01/07/2021, 	(15-DEC-2025 14:30:44)
252,V,01/07/2021, 	(15-DEC-2025 14:30:44)
253,V,01/08/2021, 	(15-DEC-2025 14:30:44)
254,V,01/12/2021, 	(15-DEC-2025 14:30:44)
255,V,01/12/2021, 	(15-DEC-2025 14:30:44)
256,V,01/12/2021, 	(15-DEC-2025 14:30:44)
257,V,01/12/2021, 	(15-DEC-2025 14:30:44)
258,V,01/12/2021, 	(15-DEC-2025 14:30:44)
259,V,01/12/2021, 	(15-DEC-2025 14:30:44)
260,V,01/12/2021, 	(15-DEC-2025 14:30:44)
261,V,01/12/2021, 	(15-DEC-2025 14:30:44)
262,V,01/12/2021, 	(15-DEC-2025 14:30:44)
263,V,01/12/2021, 	(15-DEC-2025 14:30:44)
264,V,01/12/2021, 	(15-DEC-2025 14:30:44)
265,V,01/12/2021, 	(15-DEC-2025 14:30:44)
266,V,01/12/2021, 	(15-DEC-2025 14:30:44)
267,V,01/12/2021, 	(15-DEC-2025 14:30:44)
268,V,01/12/2021, 	(15-DEC-2025 14:30:44)
269,V,01/12/2021, 	(15-DEC-2025 14:30:44)
270,V,01/12/2021, 	(15-DEC-2025 14:30:44)
271,V,01/12/2021, 	(15-DEC-2025 14:30:44)
272,V,01/12/2021, 	(15-DEC-2025 14:30:44)
273,V,01/12/2021, 	(15-DEC-2025 14:30:44)
274,V,01/12/2021, 	(15-DEC-2025 14:30:44)
275,V,01/12/2021, 	(15-DEC-2025 14:30:44)
276,V,01/12/2021, 	(15-DEC-2025 14:30:44)
277,V,01/12/2021, 	(15-DEC-2025 14:30:44)
278,V,01/12/2021, 	(15-DEC-2025 14:30:44)
279,V,01/12/2021, 	(15-DEC-2025 14:30:44)
280,V,01/12/2021, 	(15-DEC-2025 14:30:44)
281,V,01/12/2021, 	(15-DEC-2025 14:30:44)
282,V,01/02/2022, 	(15-DEC-2025 14:30:44)
283,V,01/03/2022, 	(15-DEC-2025 14:30:44)
284,V,01/03/2022, 	(15-DEC-2025 14:30:44)
285,V,01/04/2022, 	(15-DEC-2025 14:30:44)
286,V,01/04/2022, 	(15-DEC-2025 14:30:44)
287,V,01/05/2022, 	(15-DEC-2025 14:30:44)
288,V,01/03/2022, 	(15-DEC-2025 14:30:44)
289,V,01/03/2022, 	(15-DEC-2025 14:30:44)
290,V,01/05/2022, 	(15-DEC-2025 14:30:44)
291,V,01/05/2022, 	(15-DEC-2025 14:30:44)
292,V,01/03/2022, 	(15-DEC-2025 14:30:44)
293,V,01/07/2022, 	(15-DEC-2025 14:30:44)
294,V,01/07/2022, 	(15-DEC-2025 14:30:44)
295,V,01/08/2022, 	(15-DEC-2025 14:30:44)
296,V,01/09/2022, 	(15-DEC-2025 14:30:44)
297,V,01/09/2022, 	(15-DEC-2025 14:30:44)
298,V,01/09/2022, 	(15-DEC-2025 14:30:44)
299,V,01/09/2022, 	(15-DEC-2025 14:30:44)
300,V,01/09/2022, 	(15-DEC-2025 14:30:44)
301,V,01/09/2022, 	(15-DEC-2025 14:30:44)
302,V,01/09/2022, 	(15-DEC-2025 14:30:44)
303,V,01/09/2022, 	(15-DEC-2025 14:30:44)
304,V,01/09/2022, 	(15-DEC-2025 14:30:44)
305,V,01/09/2022, 	(15-DEC-2025 14:30:44)
306,V,01/09/2022, 	(15-DEC-2025 14:30:44)
307,V,01/10/2022, 	(15-DEC-2025 14:30:44)
308,V,01/11/2022, 	(15-DEC-2025 14:30:44)
309,V,01/11/2022, 	(15-DEC-2025 14:30:44)
310,V,01/12/2022, 	(15-DEC-2025 14:30:44)
311,V,01/12/2022, 	(15-DEC-2025 14:30:44)
312,V,01/01/2023, 	(15-DEC-2025 14:30:44)
313,V,01/02/2022, 	(15-DEC-2025 14:30:44)
314,V,01/02/2023, 	(15-DEC-2025 14:30:44)
315,V,01/03/2023, 	(15-DEC-2025 14:30:44)
316,V,01/01/2023, 	(15-DEC-2025 14:30:44)
317,V,01/04/2023, 	(15-DEC-2025 14:30:44)
318,V,01/04/2023, 	(15-DEC-2025 14:30:44)
319,V,01/04/2023, 	(15-DEC-2025 14:30:44)
320,V,01/04/2023, 	(15-DEC-2025 14:30:44)
321,V,01/04/2023, 	(15-DEC-2025 14:30:44)
322,V,01/04/2023, 	(15-DEC-2025 14:30:44)
323,V,01/04/2023, 	(15-DEC-2025 14:30:44)
324,V,01/05/2023, 	(15-DEC-2025 14:30:44)
325,V,01/03/2023, 	(15-DEC-2025 14:30:44)
326,V,01/06/2023, 	(15-DEC-2025 14:30:44)
327,V,01/07/2023, 	(15-DEC-2025 14:30:44)
328,V,01/07/2023, 	(15-DEC-2025 14:30:44)
329,V,01/08/2023, 	(15-DEC-2025 14:30:44)
330,V,01/11/2023, 	(15-DEC-2025 14:30:44)
331,V,01/11/2023, 	(15-DEC-2025 14:30:44)
332,V,01/12/2023, 	(15-DEC-2025 14:30:44)
333,V,01/12/2023, 	(15-DEC-2025 14:30:44)
334,V,01/01/2024, 	(15-DEC-2025 14:30:44)
335,V,01/01/2024, 	(15-DEC-2025 14:30:44)
336,V,01/01/2024, 	(15-DEC-2025 14:30:44)
337,V,01/01/2024, 	(15-DEC-2025 14:30:44)
338,V,01/01/2024, 	(15-DEC-2025 14:30:44)
339,V,01/11/2023, 	(15-DEC-2025 14:30:44)
340,V,01/01/2024, 	(15-DEC-2025 14:30:44)
341,V,01/01/2024, 	(15-DEC-2025 14:30:44)
342,V,01/01/2024, 	(15-DEC-2025 14:30:44)
343,V,01/01/2024, 	(15-DEC-2025 14:30:44)
344,V,01/01/2024, 	(15-DEC-2025 14:30:44)
345,V,01/01/2024, 	(15-DEC-2025 14:30:44)
346,V,01/01/2024, 	(15-DEC-2025 14:30:44)
347,V,01/01/2024, 	(15-DEC-2025 14:30:44)
348,V,01/01/2024, 	(15-DEC-2025 14:30:44)
349,V,01/01/2024, 	(15-DEC-2025 14:30:44)
350,V,01/03/2024, 	(15-DEC-2025 14:30:44)
351,V,01/03/2024, 	(15-DEC-2025 14:30:44)
352,V,01/03/2024, 	(15-DEC-2025 14:30:44)
353,V,01/03/2024, 	(15-DEC-2025 14:30:44)
354,V,01/07/2024, 	(15-DEC-2025 14:30:44)
355,V,01/07/2024, 	(15-DEC-2025 14:30:44)
356,V,01/08/2024, 	(15-DEC-2025 14:30:44)
357,V,01/08/2024, 	(15-DEC-2025 14:30:44)
358,V,01/09/2024, 	(15-DEC-2025 14:30:44)
359,V,01/09/2024, 	(15-DEC-2025 14:30:44)
360,V,01/09/2024, 	(15-DEC-2025 14:30:44)
361,V,01/09/2024, 	(15-DEC-2025 14:30:44)
362,V,01/09/2024, 	(15-DEC-2025 14:30:44)
363,V,01/09/2024, 	(15-DEC-2025 14:30:44)
364,V,01/09/2024, 	(15-DEC-2025 14:30:44)
365,V,01/09/2024, 	(15-DEC-2025 14:30:44)
366,V,01/09/2024, 	(15-DEC-2025 14:30:44)
367,V,01/09/2024, 	(15-DEC-2025 14:30:44)
368,V,01/09/2024, 	(15-DEC-2025 14:30:44)
369,V,01/09/2024, 	(15-DEC-2025 14:30:44)
370,V,01/09/2024, 	(15-DEC-2025 14:30:44)
371,V,01/09/2024, 	(15-DEC-2025 14:30:44)
372,V,01/09/2024, 	(15-DEC-2025 14:30:44)
373,V,01/09/2024, 	(15-DEC-2025 14:30:44)
374,V,01/09/2024, 	(15-DEC-2025 14:30:44)
375,V,01/09/2024, 	(15-DEC-2025 14:30:44)
376,V,01/09/2024, 	(15-DEC-2025 14:30:44)
377,V,01/09/2024, 	(15-DEC-2025 14:30:44)
378,V,01/09/2024, 	(15-DEC-2025 14:30:44)
379,V,01/09/2024, 	(15-DEC-2025 14:30:44)
380,V,01/10/2024, 	(15-DEC-2025 14:30:44)
381,V,01/10/2024, 	(15-DEC-2025 14:30:44)
382,V,01/11/2024, 	(15-DEC-2025 14:30:44)
383,V,01/12/2024, 	(15-DEC-2025 14:30:44)
384,V,01/12/2024, 	(15-DEC-2025 14:30:44)
385,V,01/01/2025, 	(15-DEC-2025 14:30:44)
386,V,01/01/2025, 	(15-DEC-2025 14:30:44)
387,V,01/01/2025, 	(15-DEC-2025 14:30:44)
388,V,01/01/2025, 	(15-DEC-2025 14:30:44)
389,V,01/01/2025, 	(15-DEC-2025 14:30:44)
390,V,01/01/2025, 	(15-DEC-2025 14:30:44)
391,V,01/01/2025, 	(15-DEC-2025 14:30:44)
392,V,01/01/2025, 	(15-DEC-2025 14:30:44)
393,V,01/01/2025, 	(15-DEC-2025 14:30:44)
394,V,01/01/2025, 	(15-DEC-2025 14:30:44)
395,V,01/01/2025, 	(15-DEC-2025 14:30:44)
396,V,01/02/2025, 	(15-DEC-2025 14:30:44)
397,V,01/05/2025, 	(15-DEC-2025 14:30:44)
398,V,01/04/2025, 	(15-DEC-2025 14:30:44)
399,V,01/06/2025, 	(15-DEC-2025 14:30:44)
400,V,01/06/2025, 	(15-DEC-2025 14:30:44)
401,V,01/08/2025, 	(15-DEC-2025 14:30:44)
402,V,01/07/2025, 	(15-DEC-2025 14:30:44)
403,V,01/01/2020, 	(15-DEC-2025 14:30:44)

TOTAL DATA EXTRACTED :,405,  	(15-DEC-2025 14:30:45)
 
<<END>>,<<FMS_OTH_ENTITY_MST>>, 	(15-DEC-2025 14:30:45)
 
<<START>>,<<FMS_OTH_ENTITY_ADDR_MST>>, 	(15-DEC-2025 14:30:45)
 
ENTITY_CD,ENTITY_TYPE,ADDRESS_TYPE,EFF_DT,TIMESTAMP
403,S,B,20/12/2020, 	(15-DEC-2025 14:30:45)
403,S,R,20/12/2020, 	(15-DEC-2025 14:30:45)
403,S,C,01/07/2017, 	(15-DEC-2025 14:30:45)
403,S,R,26/11/2020, 	(15-DEC-2025 14:30:45)
403,S,C,26/11/2020, 	(15-DEC-2025 14:30:45)
403,S,B,26/11/2020, 	(15-DEC-2025 14:30:45)
ENTITY_CD,ENTITY_TYPE,ADDRESS_TYPE,EFF_DT,TIMESTAMP
1,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
2,V,C,01/07/2017, 	(15-DEC-2025 14:30:45)
2,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
3,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
4,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
5,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
6,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
7,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
8,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
9,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
10,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
11,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
12,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
13,V,B,01/07/2017, 	(15-DEC-2025 14:30:45)
13,V,C,01/07/2017, 	(15-DEC-2025 14:30:45)
13,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
14,V,B,16/05/2019, 	(15-DEC-2025 14:30:45)
14,V,C,16/05/2019, 	(15-DEC-2025 14:30:45)
14,V,R,16/05/2019, 	(15-DEC-2025 14:30:45)
15,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
16,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
17,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
18,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
19,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
20,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
21,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
22,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
23,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
24,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
25,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
26,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
27,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
28,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
29,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
30,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
31,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
32,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
33,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
34,V,R,01/07/2017, 	(15-DEC-2025 14:30:45)
